City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Mataura,6,NZ,1582528110,62,-46.19,168.86,64.0,7.0
Korla,75,CN,1582528111,34,41.76,86.15,36.52,3.65
East London,15,ZA,1582528112,72,-33.02,27.91,66.2,3.36
Raub,57,MY,1582528114,54,3.79,101.86,87.8,4.12
Mar del Plata,0,AR,1582528004,93,-38.0,-57.56,64.0,13.87
Busselton,99,AU,1582528013,41,-33.65,115.33,75.0,13.78
Kapaa,40,US,1582528118,69,22.08,-159.32,75.2,5.82
Pevek,14,RU,1582528119,92,69.7,170.31,-21.39,8.08
Ubari,0,LY,1582528121,67,26.59,12.78,43.68,3.53
Rikitea,7,PF,1582528122,71,-23.12,-134.97,79.81,6.71
Garoowe,84,SO,1582528124,55,8.41,48.48,73.87,12.82
Butaritari,68,KI,1582528126,84,3.07,172.79,82.06,26.22
Ushuaia,75,AR,1582528095,70,-54.8,-68.3,42.8,12.75
Belmonte,75,BR,1582528128,88,-15.86,-38.88,75.2,5.82
Karaton,75,ID,1582528130,66,-6.34,106.1,87.8,17.22
Barrow,75,US,1582528131,75,71.29,-156.79,-18.4,12.75
Hilo,90,US,1582528133,73,19.73,-155.09,73.4,3.36
Muros,0,ES,1582528134,80,42.78,-9.06,52.0,3.36
Luderitz,0,NA,1582528136,73,-26.65,15.16,67.05,15.17
Litovko,100,RU,1582528137,84,49.24,135.17,19.74,3.65
Kapoeta,32,SS,1582528139,26,4.77,33.59,90.34,9.66
Sur,47,OM,1582528140,41,22.57,59.53,80.22,4.25
Upernavik,16,GL,1582528142,87,72.79,-56.15,-20.83,4.12
Constitucion,74,CL,1582528143,94,-35.33,-72.42,51.46,5.12
Qaanaaq,0,GL,1582528145,54,77.48,-69.36,-16.91,5.46
Nan,8,TH,1582528146,38,18.83,100.67,87.8,5.82
Cao Bang,84,VN,1582528147,64,22.67,106.25,70.45,6.6
Nikolskoye,90,RU,1582528149,93,59.7,30.79,35.6,11.18
Kavieng,12,PG,1582528150,73,-2.57,150.8,84.65,12.64
Port Alfred,0,ZA,1582528152,79,-33.59,26.89,68.0,1.99
Prince Rupert,75,CA,1582528153,86,54.32,-130.32,33.8,12.75
Yellowknife,5,CA,1582528155,69,62.46,-114.35,-11.0,5.82
San Andres,40,CO,1582528156,88,12.58,-81.7,75.2,9.17
George Town,20,MY,1582528011,59,5.41,100.34,91.4,12.75
Puerto Ayora,88,EC,1582528159,100,-0.74,-90.35,77.0,4.68
Boende,100,CD,1582528160,91,-0.22,20.87,74.62,3.87
Bluff,25,NZ,1582528162,62,-46.6,168.33,64.0,7.0
Dunedin,43,NZ,1582527954,78,-45.87,170.5,61.0,11.72
Hobart,75,AU,1582528080,60,-42.88,147.33,70.0,13.87
Cape Town,0,ZA,1582528166,59,-33.93,18.42,73.0,12.75
Jamestown,1,US,1582527876,44,42.1,-79.24,44.6,11.41
Saskylakh,88,RU,1582528169,92,71.92,114.08,12.9,11.07
Airai,58,TL,1582528170,69,-8.93,125.41,79.25,1.83
Yuancheng,99,CN,1582528172,35,36.65,107.79,47.16,11.65
Jiutai,27,CN,1582528173,31,44.15,125.83,35.6,4.47
Kalmunai,100,LK,1582528175,81,7.42,81.82,80.76,16.13
Golynki,94,RU,1582528176,88,54.87,31.39,31.68,8.55
Mengyin,100,CN,1582528177,96,35.71,117.93,44.35,4.56
Dikson,100,RU,1582528179,90,73.51,80.55,22.77,26.11
Kenai,1,US,1582528180,84,60.55,-151.26,0.0,6.89
Lodja,100,CD,1582528182,96,-3.48,23.43,71.8,0.98
Narsaq,100,GL,1582528183,79,60.92,-46.05,21.2,2.24
Te Anau,10,NZ,1582528043,66,-45.42,167.72,58.64,9.26
Guerrero Negro,98,MX,1582528186,82,27.98,-114.06,58.59,16.35
Coahuayana Viejo,0,MX,1582528188,75,18.73,-103.68,70.11,1.41
Punta Arenas,75,CL,1582528189,65,-53.15,-70.92,46.4,20.8
Bethel,75,US,1582528191,47,41.37,-73.41,44.01,3.56
Atuona,18,PF,1582528192,79,-9.8,-139.03,81.23,14.52
Avarua,100,CK,1582528193,100,-21.21,-159.78,77.0,1.12
Thompson,90,CA,1582528195,84,55.74,-97.86,6.8,6.93
Iqaluit,40,CA,1582528196,60,63.75,-68.51,-25.01,4.99
Moyobamba,95,PE,1582528198,98,-6.05,-76.97,66.42,1.23
Comodoro Rivadavia,100,AR,1582528199,39,-45.87,-67.5,64.4,16.11
Marrakesh,76,MA,1582528086,33,31.63,-8.01,57.2,2.24
Kanigoro,35,ID,1582528202,68,-8.13,112.22,87.31,6.49
Clyde River,90,CA,1582528203,75,70.47,-68.59,-16.6,16.11
Montceau-les-Mines,90,FR,1582528205,87,46.67,4.37,50.0,4.7
Natal,40,BR,1582528206,83,-5.79,-35.21,80.6,8.05
Vaini,75,TO,1582528208,94,-21.2,-175.2,80.6,4.7
Salta,0,AR,1582528210,100,-24.79,-65.41,59.0,2.24
Rochester,1,US,1582528047,35,43.15,-77.62,44.01,10.29
Kawalu,52,ID,1582528213,76,-7.38,108.21,81.75,4.29
Laurel,1,US,1582527996,74,39.1,-76.85,39.0,3.62
Lompoc,90,US,1582528182,87,34.64,-120.46,52.0,15.08
Henties Bay,91,NA,1582528217,93,-22.12,14.28,66.0,3.0
Oussouye,100,SN,1582528218,83,12.48,-16.55,75.2,4.7
Yenagoa,14,NG,1582528220,96,4.92,6.26,76.91,1.61
Charters Towers,100,AU,1582528221,72,-20.1,146.27,84.24,12.24
Sao Filipe,13,CV,1582528223,83,14.9,-24.5,67.05,14.56
Camacha,20,PT,1582528224,87,33.08,-16.33,64.4,11.41
Port Elizabeth,11,ZA,1582528225,64,-33.92,25.57,68.0,2.24
General Pico,0,AR,1582528227,37,-35.66,-63.76,67.26,13.06
Lata,0,PT,1582528228,93,40.16,-8.33,48.99,4.7
Albany,1,US,1582528230,79,42.6,-73.97,34.0,5.82
Tasiilaq,15,GL,1582528231,60,65.61,-37.64,8.6,1.12
Crystal Beach,1,CA,1582528233,36,42.87,-79.06,44.6,14.99
Havelock,1,US,1582528234,75,34.88,-76.9,46.99,3.91
Faanui,19,PF,1582528235,73,-16.48,-151.75,83.3,11.68
Chabahar,37,IR,1582528237,57,25.29,60.64,75.04,4.38
New Norfolk,75,AU,1582528238,60,-42.78,147.06,69.01,13.87
San Cristobal,94,VE,1582528121,97,7.77,-72.22,56.46,0.47
Rocky Mountain House,100,CA,1582528241,97,52.37,-114.92,20.62,2.77
Sobolevo,53,RU,1582528242,87,54.43,31.9,31.24,6.42
Kaitangata,46,NZ,1582528244,78,-46.28,169.85,60.01,8.9
Eureka,40,US,1582528008,87,40.8,-124.16,46.4,3.47
Eirunepe,100,BR,1582528247,96,-6.66,-69.87,72.16,1.63
Bambous Virieux,40,MU,1582528249,74,-20.34,57.76,84.2,3.36
Beloha,81,MG,1582528251,84,-25.17,45.05,77.31,2.89
Lebu,23,CL,1582528252,98,-37.62,-73.65,53.53,4.29
Bubaque,93,GW,1582528253,65,11.28,-15.83,80.2,7.76
Wagar,17,SD,1582528255,75,16.15,36.2,70.36,15.46
Kodiak,1,US,1582528256,45,57.79,-152.41,24.8,11.41
Chokurdakh,56,RU,1582528258,98,70.63,147.92,-23.26,3.51
Chui,43,UY,1582528259,80,-33.7,-53.46,63.19,9.06
Geraldton,0,AU,1582528260,62,-28.77,114.6,84.2,19.46
Ola,3,RU,1582528262,84,59.58,151.28,-0.09,2.46
Namtsy,97,RU,1582528263,76,62.72,129.67,-4.0,4.47
Sitka,90,US,1582528131,74,57.05,-135.33,30.2,5.82
Morgan City,1,US,1582528266,93,29.7,-91.21,57.2,5.82
Mahebourg,40,MU,1582528268,66,-20.41,57.7,86.0,5.82
Berlevag,90,NO,1582528269,96,70.86,29.09,32.0,1.12
Faranah,35,GN,1582528271,70,10.04,-10.74,68.18,2.95
Cairns,75,AU,1582528253,88,-16.92,145.77,80.6,5.82
Kurchum,96,KZ,1582528273,87,48.57,83.65,16.92,4.43
Leh,0,IN,1582528001,48,34.17,77.58,3.67,0.6
Sao Joao da Barra,75,BR,1582528276,83,-21.64,-41.05,70.5,8.23
Zhigansk,100,RU,1582528278,93,66.77,123.37,-3.77,15.68
Abu Dhabi,100,AE,1582528005,57,24.47,54.37,78.8,5.82
Klichka,0,RU,1582528281,73,50.45,118.0,19.17,4.54
Kerman,35,IR,1582528282,19,30.28,57.08,59.0,4.7
Tortoli,5,IT,1582528283,76,39.93,9.66,53.6,12.75
Grand Gaube,40,MU,1582528285,66,-20.01,57.66,86.0,5.82
San Luis,0,AR,1582528286,44,-33.3,-66.34,70.18,18.9
Konotop,100,UA,1582528288,97,51.24,33.2,34.59,12.64
Northam,75,GB,1582528289,87,51.03,-4.22,52.0,13.87
Bredasdorp,20,ZA,1582528182,68,-34.53,20.04,70.0,5.82
Hermanus,0,ZA,1582528292,61,-34.42,19.23,73.0,14.0
Nantucket,1,US,1582528293,86,41.28,-70.1,39.0,8.05
Holme,5,DK,1582528295,86,56.11,10.17,37.4,10.29
Arraial do Cabo,100,BR,1582528296,71,-22.97,-42.03,73.99,4.85
Talnakh,75,RU,1582528298,92,69.49,88.4,17.6,29.08
Biberach an der Riss,75,DE,1582528299,93,48.09,9.79,51.8,3.36
Salinopolis,39,BR,1582528300,82,-0.61,-47.36,81.63,13.47
Cherskiy,57,RU,1582528302,88,68.75,161.3,-25.73,3.65
Campo de Criptana,0,ES,1582528303,41,39.4,-3.12,48.99,4.88
Severo-Kuril'sk,100,RU,1582528305,95,50.68,156.12,26.11,31.97
Codrington,75,AU,1582528306,86,-38.27,141.97,62.76,13.65
Carire,94,BR,1582528308,96,-3.95,-40.47,73.96,1.48
Nome,90,US,1582528309,84,64.5,-165.41,5.0,10.29
Ponta do Sol,20,PT,1582528183,52,32.67,-17.1,64.4,23.04
Tateyama,20,JP,1582528312,47,34.98,139.87,57.99,11.41
Bambui,100,BR,1582528314,92,-20.01,-45.98,67.82,4.32
Westport,75,US,1582528114,55,41.14,-73.36,45.0,7.58
Les Cayes,2,HT,1582528316,71,18.2,-73.75,78.64,5.14
Mount Gambier,90,AU,1582528318,60,-37.83,140.77,73.4,12.75
Yerbogachen,100,RU,1582528319,85,61.28,108.01,20.01,13.98
Kloulklubed,75,PW,1582528321,66,7.04,134.26,86.0,18.34
Aykhal,40,RU,1582528294,85,66.0,111.5,14.0,6.71
Cayenne,75,GF,1582528324,88,4.93,-52.33,78.8,9.17
Rocha,42,UY,1582528326,87,-34.48,-54.33,57.15,8.93
Atar,97,MR,1582528327,23,20.52,-13.05,74.16,7.45
Torbay,20,CA,1582528329,92,47.67,-52.73,28.0,13.87
Saint-Philippe,45,RE,1582528330,66,-21.36,55.77,84.2,6.93
Sao Joao do Piaui,86,BR,1582528332,96,-8.36,-42.25,71.98,1.3
Lara,90,AU,1582528333,93,-38.02,144.4,75.99,16.11
Lagoa,89,PT,1582528335,81,39.05,-27.98,59.65,11.65
Prado,34,BR,1582528336,83,-17.34,-39.22,79.77,9.51
Pierre,1,US,1582528326,85,44.37,-100.35,27.0,4.7
Aklavik,90,CA,1582528340,83,68.22,-135.01,-5.8,2.24
Charlottesville,1,US,1582528100,84,38.03,-78.48,43.0,2.24
Senanga,100,ZM,1582528343,96,-16.12,23.27,67.32,3.24
Esperance,83,AU,1582528344,57,-33.87,121.9,78.8,21.92
Hamada,22,JP,1582528346,62,34.88,132.08,57.2,11.41
Morondava,54,MG,1582528347,79,-20.28,44.28,83.05,3.38
Yangi Marg`ilon,75,UZ,1582528349,81,40.43,71.72,50.0,4.7
Ninghai,61,CN,1582528350,44,29.29,121.42,77.0,15.66
Honningsvag,90,NO,1582528352,97,70.98,25.97,33.8,25.28
Sanbu,100,CN,1582528353,77,33.46,119.15,57.78,7.16
Aleysk,91,RU,1582528355,91,52.49,82.78,22.23,2.17
Nanortalik,100,GL,1582528356,91,60.14,-45.24,26.37,10.0
Fairbanks,1,US,1582528358,83,64.84,-147.72,-6.0,1.68
Kruisfontein,0,ZA,1582528359,65,-34.0,24.73,61.52,4.38
Pulivendla,20,IN,1582528361,40,14.42,78.23,89.6,13.87
Hualmay,49,PE,1582528362,71,-11.1,-77.61,73.83,2.13
Bonham,90,US,1582528364,93,33.58,-96.18,61.0,18.34
Ust-Nera,100,RU,1582528366,97,64.57,143.2,-20.6,2.73
Hithadhoo,39,MV,1582528367,78,-0.6,73.08,83.39,12.15
Sicamous,90,CA,1582528368,100,50.83,-118.99,32.0,1.21
Kandrian,51,PG,1582528370,86,-6.22,149.55,82.51,3.22
Chardara,71,KZ,1582528371,75,41.25,67.97,52.97,3.91
Camargo,100,MX,1582528373,28,27.67,-105.17,63.66,18.25
Katherine,40,AU,1582528374,41,-14.47,132.27,95.0,14.99
Poronaysk,30,RU,1582528375,90,49.22,143.12,14.18,4.21
Padang,0,ID,1582528377,52,-0.95,100.35,84.78,5.48
Longyearbyen,20,SJ,1582528270,70,78.22,15.64,-2.2,4.7
Souillac,40,MU,1582528380,66,-20.52,57.52,86.0,5.82
Siocon,96,PH,1582528381,79,7.71,122.14,81.1,10.2
Margate,75,GB,1582528383,100,51.38,1.39,51.01,10.29
Albion,1,US,1582528384,93,42.24,-84.75,39.99,4.7
Stratham,1,US,1582528386,80,43.02,-70.91,37.99,3.36
Taoudenni,1,ML,1582528387,15,22.68,-3.98,66.04,13.18
Akropong,8,GH,1582528389,85,5.97,-0.09,79.02,4.97
Hasaki,20,JP,1582528389,44,35.73,140.83,63.0,10.29
Netanya,20,IL,1582528096,82,32.33,34.86,59.0,1.12
Nouadhibou,82,MR,1582528393,60,20.93,-17.03,73.4,12.75
Castro,100,BR,1582528394,91,-24.79,-50.01,57.63,8.12
Altdorf,100,DE,1582528396,88,49.39,11.36,42.01,4.7
Saint Cloud,1,US,1582528397,79,45.56,-94.16,26.6,6.93
Pacific Grove,90,US,1582528385,81,36.62,-121.92,51.8,5.82
Meridian,1,US,1582528111,41,43.61,-116.39,39.2,13.87
Araouane,1,ML,1582528402,14,18.9,-3.53,72.52,17.45
Kviteseid,0,NO,1582528403,78,59.4,8.49,28.99,5.97
Tiksi,98,RU,1582528404,87,71.69,128.87,-3.64,7.31
Sharjah,99,AE,1582528406,57,25.36,55.4,80.6,5.82
Ixtapa,5,MX,1582528407,94,20.7,-105.2,71.01,4.12
Anamur,40,TR,1582528409,93,36.08,32.84,46.4,3.36
Pandamatenga,100,BW,1582528266,95,-18.53,25.63,66.07,11.97
Lermontovka,100,RU,1582528412,91,47.15,134.34,24.13,6.73
Mporokoso,100,ZM,1582528413,94,-9.37,30.12,67.91,5.95
Maceio,20,BR,1582528233,94,-9.67,-35.74,77.0,5.82
Buala,52,SB,1582528416,71,-8.14,159.59,84.47,3.53
Varhaug,75,NO,1582528417,93,58.61,5.65,39.99,4.7
Provideniya,32,RU,1582528419,63,64.38,-173.3,-3.96,2.57
Jalesar,0,IN,1582528420,45,27.48,78.32,76.21,6.11
Zyukayka,100,RU,1582528421,91,58.2,54.7,24.13,14.88
Ardesen,0,TR,1582528423,62,41.19,40.99,51.8,24.16
Ostrovnoy,100,RU,1582528424,91,68.05,39.51,22.3,5.86
